Tue 12/09/2025 13:44:41.20 . INITIALIZE file C:\temp\mDCT_v1.54\LCN01ESVTB_20251209_133828\_Network\netstat.txt by experionadmin on LCN01ESVTB in Domain ALONBIGSCTRL 
mDCT++ [v1.54] (krasimir.kumanov@gmail.com) 

================================================================================== 
===== 13:44:41.23 : netstat -natoq 
================================================================================== 

Active Connections

  Proto  Local Address          Foreign Address        State           PID      Offload State

  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4	InHost      
  TCP    127.0.0.1:54544        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54553        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54554        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54567        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54591        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54607        127.0.0.1:18019        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54610        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54611        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54612        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54613        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54614        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54615        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54616        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54617        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54618        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54619        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54620        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54621        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54622        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54623        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:54626        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54627        127.0.0.1:9772         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54628        127.0.0.1:445          ESTABLISHED     4	InHost      
  TCP    127.0.0.1:54629        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54631        127.0.0.1:9773         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:55169        127.0.0.1:40211        ESTABLISHED     18396	InHost      
  TCP    127.0.0.1:55179        127.0.0.1:40219        ESTABLISHED     764	InHost      
  TCP    127.0.0.1:55181        127.0.0.1:40213        ESTABLISHED     18396	InHost      
  TCP    127.0.0.1:55182        127.0.0.1:80           ESTABLISHED     18396	InHost      
  TCP    172.20.75.24:135       172.20.75.41:53442     ESTABLISHED     508	InHost      
  TCP    172.20.75.24:135       172.20.75.44:51207     ESTABLISHED     508	InHost      
  TCP    172.20.75.24:135       172.20.75.65:52564     ESTABLISHED     508	InHost      
  TCP    172.20.75.24:135       172.20.75.84:55028     ESTABLISHED     508	InHost      
  TCP    172.20.75.24:135       172.20.75.88:51342     ESTABLISHED     508	InHost      
  TCP    172.20.75.24:139       0.0.0.0:0              LISTENING       4	InHost      
  TCP    172.20.75.24:445       172.20.75.58:55277     ESTABLISHED     4	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51553     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51580     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51589     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51597     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51602     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51607     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51609     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51610     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51701     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51702     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51722     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:51724     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.22:52026     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51836     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51853     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51855     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51879     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51884     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:51912     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:52300     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:54273     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:1433      172.20.75.24:54398     ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:3456      0.0.0.0:0              LISTENING       9712	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52154     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52157     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52159     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52160     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52161     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52164     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52166     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52167     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52171     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52172     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52173     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52174     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52175     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52178     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:22382     172.20.75.24:52180     ESTABLISHED     4500	InHost      
  TCP    172.20.75.24:40214     172.20.75.22:51513     ESTABLISHED     4188	InHost      
  TCP    172.20.75.24:40214     172.20.75.22:51791     ESTABLISHED     4188	InHost      
  TCP    172.20.75.24:40218     172.20.75.22:52140     ESTABLISHED     24920	InHost      
  TCP    172.20.75.24:40219     172.20.75.22:52225     ESTABLISHED     16068	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:52120     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53151     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53158     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53160     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53161     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53162     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53163     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53164     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53165     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53166     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53167     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53168     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53169     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53170     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53171     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53172     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53174     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53175     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53176     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40220     172.20.75.22:53177     ESTABLISHED     12768	InHost      
  TCP    172.20.75.24:40227     172.20.75.24:51861     ESTABLISHED     4464	InHost      
  TCP    172.20.75.24:40227     172.20.75.24:51868     ESTABLISHED     4464	InHost      
  TCP    172.20.75.24:40227     172.20.75.24:51911     ESTABLISHED     4464	InHost      
  TCP    172.20.75.24:51097     172.20.75.22:1433      ESTABLISHED     19776	InHost      
  TCP    172.20.75.24:51102     172.20.75.22:1433      ESTABLISHED     19776	InHost      
  TCP    172.20.75.24:51132     172.20.75.22:1433      ESTABLISHED     2892	InHost      
  TCP    172.20.75.24:51133     172.20.75.22:1433      ESTABLISHED     2892	InHost      
  TCP    172.20.75.24:51500     172.20.75.31:9877      ESTABLISHED     3044	InHost      
  TCP    172.20.75.24:51522     172.20.75.24:55557     ESTABLISHED     5004	InHost      
  TCP    172.20.75.24:51523     172.20.75.24:55557     ESTABLISHED     6384	InHost      
  TCP    172.20.75.24:51536     172.20.75.56:445       ESTABLISHED     4	InHost      
  TCP    172.20.75.24:51619     172.20.75.58:52305     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:51620     172.20.75.82:52182     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:51628     172.20.75.54:51492     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:51645     172.20.75.71:51475     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:51677     172.20.75.22:52922     ESTABLISHED     5668	InHost      
  TCP    172.20.75.24:51831     172.20.75.24:55556     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:51833     172.20.75.24:55556     ESTABLISHED     11664	InHost      
  TCP    172.20.75.24:51836     172.20.75.24:1433      ESTABLISHED     11664	InHost      
  TCP    172.20.75.24:51843     172.20.75.24:55608     ESTABLISHED     6384	InHost      
  TCP    172.20.75.24:51844     172.20.75.24:55608     ESTABLISHED     5004	InHost      
  TCP    172.20.75.24:51845     172.20.75.24:55556     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:51846     172.20.75.41:53443     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:51846     172.20.75.44:51208     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:51846     172.20.75.65:52565     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:51846     172.20.75.84:55029     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:51846     172.20.75.88:51343     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:51848     172.20.75.24:55556     ESTABLISHED     11672	InHost      
  TCP    172.20.75.24:51850     172.20.75.24:55563     ESTABLISHED     11672	InHost      
  TCP    172.20.75.24:51853     172.20.75.24:1433      ESTABLISHED     11672	InHost      
  TCP    172.20.75.24:51855     172.20.75.24:1433      ESTABLISHED     11672	InHost      
  TCP    172.20.75.24:51857     172.20.75.24:55556     ESTABLISHED     3312	InHost      
  TCP    172.20.75.24:51861     172.20.75.24:40227     ESTABLISHED     4120	InHost      
  TCP    172.20.75.24:51868     172.20.75.24:40227     ESTABLISHED     11680	InHost      
  TCP    172.20.75.24:51877     172.20.75.24:55556     ESTABLISHED     13404	InHost      
  TCP    172.20.75.24:51879     172.20.75.24:1433      ESTABLISHED     13404	InHost      
  TCP    172.20.75.24:51883     172.20.75.24:55563     ESTABLISHED     13404	InHost      
  TCP    172.20.75.24:51884     172.20.75.24:1433      ESTABLISHED     13404	InHost      
  TCP    172.20.75.24:51911     172.20.75.24:40227     ESTABLISHED     3312	InHost      
  TCP    172.20.75.24:51912     172.20.75.24:1433      ESTABLISHED     3312	InHost      
  TCP    172.20.75.24:51934     172.20.75.24:55556     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:52071     172.20.75.24:55556     ESTABLISHED     4120	InHost      
  TCP    172.20.75.24:52154     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52157     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52159     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52160     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52161     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52164     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52166     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52167     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52171     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52172     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52173     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52174     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52175     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52178     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52180     172.20.75.24:22382     ESTABLISHED     7344	InHost      
  TCP    172.20.75.24:52287     172.20.75.56:10411     ESTABLISHED     8764	InHost      
  TCP    172.20.75.24:52299     172.20.75.24:55556     ESTABLISHED     17624	InHost      
  TCP    172.20.75.24:52300     172.20.75.24:1433      ESTABLISHED     17624	InHost      
  TCP    172.20.75.24:52417     172.20.75.31:7780      ESTABLISHED     940	InHost      
  TCP    172.20.75.24:52540     172.20.75.33:55553     ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52541     172.20.75.84:51500     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:52543     172.20.75.32:55553     ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52571     172.20.75.189:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52574     172.20.75.235:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52575     172.20.75.182:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52576     172.20.75.187:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52577     172.20.75.168:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52578     172.20.75.233:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52579     172.20.75.195:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52580     172.20.75.239:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52582     172.20.75.186:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52583     172.20.75.167:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52586     172.20.75.232:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52587     172.20.75.173:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52588     172.20.75.227:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52590     172.20.75.169:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52591     172.20.75.243:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52593     172.20.75.181:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52594     172.20.75.180:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52595     172.20.75.185:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52596     172.20.75.242:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52600     172.20.75.231:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52601     172.20.75.237:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52602     172.20.75.179:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52603     172.20.75.176:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52604     172.20.75.241:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52605     172.20.75.230:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52606     172.20.75.171:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52607     172.20.75.225:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52608     172.20.75.196:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52609     172.20.75.175:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52610     172.20.75.240:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52611     172.20.75.229:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52612     172.20.75.174:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52613     172.20.75.228:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52614     172.20.75.36:55553     ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52617     172.20.75.35:55553     ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52618     172.20.75.238:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52619     172.20.75.172:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52620     172.20.75.226:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52621     172.20.75.190:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52623     172.20.75.236:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52624     172.20.75.170:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52625     172.20.75.244:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52627     172.20.75.234:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:52628     172.20.75.188:55553    ESTABLISHED     6172	InHost      
  TCP    172.20.75.24:53182     172.20.75.31:9877      ESTABLISHED     3044	InHost      
  TCP    172.20.75.24:53208     172.20.75.28:41002     ESTABLISHED     1388	InHost      
  TCP    172.20.75.24:53478     172.20.75.22:40227     ESTABLISHED     4464	InHost      
  TCP    172.20.75.24:53575     172.20.75.20:49672     ESTABLISHED     812	InHost      
  TCP    172.20.75.24:53836     172.20.75.22:40218     ESTABLISHED     24920	InHost      
  TCP    172.20.75.24:53883     172.20.75.22:40220     ESTABLISHED     20768	InHost      
  TCP    172.20.75.24:53887     172.20.75.22:40219     ESTABLISHED     16068	InHost      
  TCP    172.20.75.24:54177     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54187     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54219     172.20.75.41:54251     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54220     172.20.75.41:54251     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54221     172.20.75.69:52699     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54222     172.20.75.69:52699     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54228     172.20.75.52:51500     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54229     172.20.75.52:51500     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54231     172.20.75.56:51503     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54232     172.20.75.56:51503     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54234     172.20.75.22:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54235     172.20.75.22:51686     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54238     172.20.75.40:51480     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54239     172.20.75.40:51480     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54241     172.20.75.86:51497     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54242     172.20.75.86:51497     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54246     172.20.75.65:51401     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54247     172.20.75.65:51401     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54263     172.20.75.88:51491     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54264     172.20.75.88:51491     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54265     172.20.75.44:54302     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54266     172.20.75.44:54302     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54273     172.20.75.24:1433      ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:54280     172.20.75.50:51488     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54281     172.20.75.50:51488     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54293     172.20.75.60:51503     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54294     172.20.75.60:51503     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54314     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54315     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54317     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54327     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54329     172.20.75.22:445       ESTABLISHED     4	InHost      
  TCP    172.20.75.24:54396     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54397     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54398     172.20.75.24:1433      ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:54401     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54402     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54403     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54404     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54405     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54407     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54478     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54479     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54480     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54485     172.20.75.86:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54486     172.20.75.84:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54487     172.20.75.52:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54488     172.20.75.40:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54489     172.20.75.88:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54490     172.20.75.82:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54491     172.20.75.50:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54492     172.20.75.54:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54493     172.20.75.69:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54494     172.20.75.41:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54495     172.20.75.44:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54496     172.20.75.60:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54497     172.20.75.42:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54498     172.20.75.56:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54499     172.20.75.58:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54500     172.20.75.71:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54501     172.20.75.65:135       ESTABLISHED     508	InHost      
  TCP    172.20.75.24:54509     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54524     172.20.75.41:54251     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54525     172.20.75.69:52699     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54526     172.20.75.69:52699     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54546     172.20.75.52:51500     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54547     172.20.75.52:51500     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54551     172.20.75.56:51503     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54552     172.20.75.56:51503     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54556     172.20.75.40:51480     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54557     172.20.75.40:51480     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54561     172.20.75.86:51497     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54562     172.20.75.86:51497     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54564     172.20.75.65:51401     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54565     172.20.75.65:51401     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54574     172.20.75.88:51491     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54575     172.20.75.88:51491     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54576     172.20.75.44:54302     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54577     172.20.75.44:54302     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54579     172.20.75.50:51488     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54580     172.20.75.50:51488     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54581     172.20.75.60:51503     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54582     172.20.75.60:51503     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:54588     172.20.75.22:55607     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54589     172.20.75.22:55606     TIME_WAIT       0	InHost      
  TCP    172.20.75.24:54590     172.20.75.22:55607     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:54600     172.20.75.22:55606     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:54637     172.20.77.99:135       SYN_SENT        508	InHost      
  TCP    172.20.75.24:54638     172.20.77.99:135       SYN_SENT        508	InHost      
  TCP    172.20.75.24:54819     172.20.75.22:55605     ESTABLISHED     4136	InHost      
  TCP    172.20.75.24:55212     172.20.75.42:54057     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:55329     172.20.75.22:51498     ESTABLISHED     7384	InHost      
  TCP    172.20.75.24:55488     172.20.75.22:40214     ESTABLISHED     4188	InHost      
  TCP    172.20.75.24:55489     172.20.75.22:40214     ESTABLISHED     4188	InHost      
  TCP    172.20.75.24:55529     172.20.75.22:1433      ESTABLISHED     4244	InHost      
  TCP    172.20.75.24:55532     172.20.75.22:1433      ESTABLISHED     23376	InHost      
  TCP    172.20.75.24:55534     172.20.75.22:1433      ESTABLISHED     23376	InHost      
  TCP    172.20.75.24:55556     172.20.75.22:51552     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:55556     172.20.75.22:51582     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:55556     172.20.75.22:51588     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:55556     172.20.75.22:51600     ESTABLISHED     11528	InHost      
  TCP    172.20.75.24:55556     172.20.75.22:51601     ESTABLISHED     11528	InHost      
